company_id,payment_note_date,payment_note_amount,financials_date,financials_date-1,financials_date-2,financials_date-3,financials_date-4,revenue,revenue-1,revenue-2,revenue-3,revenue-4,net_sales,net_sales-1,net_sales-2,net_sales-3,net_sales-4,profit_after_net_financial_items,profit_after_net_financial_items-1,profit_after_net_financial_items-2,profit_after_net_financial_items-3,profit_after_net_financial_items-4,profit,profit-1,profit-2,profit-3,profit-4,assets,assets-1,assets-2,assets-3,assets-4,lt_liabilities,lt_liabilities-1,lt_liabilities-2,lt_liabilities-3,lt_liabilities-4,equity,equity-1,equity-2,equity-3,equity-4,equity_ratio,equity_ratio-1,equity_ratio-2,equity_ratio-3,equity_ratio-4,profit_margin,profit_margin-1,profit_margin-2,profit_margin-3,profit_margin-4,cash_ratio,cash_ratio-1,cash_ratio-2,cash_ratio-3,cash_ratio-4,Rating
5333,,,Aug-17,Aug-16,Aug-15,Aug-14,Aug-13,9110,12151,16516,11311,6037,9042,12151,17143,10684,6037,8,540,2678,534,-311,33,406,1509,214,47,6200,6162,9152,4023,3296,798,0,2259,562,268,3074,3041,3135,1876,1662,65.4,65.9,45.4,57.9,58.2,0.3,4.6,16.5,5,-5,110.5,63.7,336.9,191.6,165.8,AA
5334,,,Dec-17,Dec-16,Dec-15,Dec-14,Dec-13,6904,7869,6146,8275,5504,6385,7422,5465,7609,5075,-84,1025,-160,517,240,13,799,-19,292,105,1596,2590,1070,1322,1731,0,128,16,17,44,195,1182,383,402,434,12.2,48.8,43.4,44.9,29.8,-1.1,13.1,-2.5,6.3,4.6,69.1,165.1,116.6,126.9,127.6,B
5335,,,Aug-17,Aug-16,Aug-15,Aug-14,Aug-13,5377,5408,5010,4570,4555,5334,5403,5008,4570,4529,-170,267,424,145,-35,1,202,222,110,8,1140,1255,1428,1256,1342,237,0,0,0,0,317,416,414,522,412,30.5,47.4,41.6,48.4,37.1,-2.9,5,8.6,3.3,-0.6,167.1,159.3,154.6,86.2,69.4,A
5336,,0,Dec-17,Dec-16,Dec-15,Dec-14,Dec-13,11755,16138,28269,21132,18218,11618,16029,28269,21131,17984,885,162,940,2011,1566,683,247,886,1558,1183,7191,5543,4587,9516,4780,0,0,0,0,0,3476,2793,2546,2911,1953,53.9,57.6,67,37.9,55.4,7.5,1,3.3,9.5,8.6,220.7,243.3,327,164.8,240,AAA
5337,,,Dec-17,Dec-16,Dec-15,Dec-14,Dec-13,15419,32092,46430,28285,24164,15419,32092,46430,28285,24164,-389,1242,2450,855,820,-52,726,1421,499,473,7229,11171,9096,6789,10808,0,0,0,0,0,2722,3774,3048,1627,1128,50,44.1,43.6,30.3,12.9,-2.5,3.9,5.3,3,3.4,196.5,183.2,181.5,145.1,112.3,A
5338,,,Jun-18,Jun-17,Jun-16,Jun-15,Jun-14,7556,5892,5641,4633,4421,7497,5871,5355,4474,4349,158,243,324,362,354,122,507,565,593,588,10089,11830,11918,12391,11388,0,869,1090,1707,950,8728,8906,8699,8434,8141,86.5,75.3,75.6,73.1,79.7,2.8,4.6,6.5,9.2,9.2,212,141.3,182.5,360.3,633.3,A
5339,,,Jun-18,Jun-17,Jun-16,Jun-15,Jun-14,20104,18715,21780,16547,11447,20300,17949,21769,16999,11010,1169,839,974,1125,561,803,473,564,663,312,8496,5377,4551,4825,4093,1162,0,0,0,0,1730,927,1154,1290,1527,33.6,36.2,44,40.3,48.2,6.1,4.5,4.5,6.8,4.9,105.7,116.5,176.8,145.2,157.5,AAA
5340,,,Aug-17,Aug-16,,,,4264,4796,,,,3715,4682,,,,-10,1269,,,,178,378,,,,5323,4088,,,,2936,1542,,,,606,428,,,,19.4,25.4,,,,2.3,27.1,,,,4.6,82.7,,,,A
5341,2018/05/21,1400,Dec-17,Dec-16,Dec-15,Dec-14,Dec-13,5130,4228,2781,1536,1067,5130,4224,2781,1536,1067,268,211,305,327,38,188,158,236,254,29,1471,1234,1274,1030,335,0,0,67,232,63,930,742,583,347,93,63.2,60.1,45.8,33.7,27.8,6.1,6,11.9,22.5,4.6,219.7,196.3,136.3,130.9,169.7,C
5342,2017/10/02,34306,Apr-18,Apr-17,Apr-16,Apr-15,Apr-14,5915,6190,12273,11377,12627,5902,6187,12184,11377,12627,-358,-2931,-1755,450,-452,-346,-2636,100,368,2,2386,2765,7290,5762,5800,1474,2375,3135,2352,1836,-796,-1450,1185,1185,1297,-33.4,-52.1,19.5,26.3,28.1,-4.3,-44.4,-13.6,4.7,-2.9,56.3,56.4,135.5,94.6,78.9,C
5343,,,Jun-18,Jun-17,,,,6652,2343,,,,6650,2343,,,,780,515,,,,312,308,,,,8260,10362,,,,3035,4047,,,,670,358,,,,23.4,15.6,,,,13.3,22.5,,,,74,67,,,,A
5344,,0,Dec-17,Dec-16,Dec-15,Dec-14,Dec-13,20724,17849,14608,13412,13607,21676,18105,13188,14796,13516,2031,1793,1313,1052,1242,1496,1327,1306,873,1001,10354,8830,7324,7733,6314,2,27,38,50,62,4726,4730,3903,3097,2724,51.9,60.9,62.1,52.8,60.4,9.8,10.1,9,7.9,9.2,191.4,238.3,212.9,205,276.9,AAA
5345,,0,Aug-18,Aug-17,Aug-16,Aug-15,Aug-14,28687,29699,29796,27203,21223,28120,31782,27857,27839,20193,2125,623,11,47,-24,1414,436,-28,14,255,6487,5644,6528,6178,6177,0,0,150,2044,0,2267,1153,716,745,730,38.8,20.4,11,12.1,11.8,7.4,2.1,0.1,0.3,-0.1,150.6,109.9,98.3,141.5,98.8,AA
5346,,,Dec-17,Dec-16,Dec-15,Dec-14,Dec-13,5937,4047,2662,1953,1177,5898,3990,2532,1810,1069,1238,1069,570,40,66,581,582,150,14,131,5459,3835,3121,2703,1761,793,599,871,987,311,1981,1400,818,918,904,57.9,57.4,43.8,43.5,65.1,21.3,27,22.5,2.9,6.4,277.8,287.7,202.1,221.8,589.8,AAA
5347,,,Dec-17,Dec-16,Dec-15,Dec-14,Dec-13,18934,18763,36457,14590,10922,18934,18746,36412,14590,10920,690,525,3216,31,137,374,351,1933,15,140,12028,10242,8929,5123,3898,2447,2566,1191,1232,858,786,911,2560,727,962,16.3,18.9,39.6,22.3,35.3,4.7,3.5,9.1,0.7,1.8,84.3,103,166,114.8,117.8,A
5348,2017/03/13,3044,Aug-17,Aug-16,Aug-15,Aug-14,Aug-13,5338,6004,4782,4736,4619,5078,5533,4490,4593,4619,-44,380,-467,10,-95,1,2,1,0,1,3186,4325,3570,3070,3416,1216,1904,2200,1141,1397,159,158,156,155,155,12.4,10.1,4.4,18,16.1,0.1,8.9,-5.6,1.9,0.6,116,136.9,118,93.1,85.9,B
